Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP,Date
0,0,1610612766,1610612760,0,2024,4,7,0.0,0.0,0.4359712230215827,0.726027397260274,-2.0293067719737223,191,161,112,231,1712448000,2024-04-07
0,0,1610612766,1610612742,0,2024,4,9,0.0,0.0,0.4359712230215827,0.9178082191780822,-0.3363348665329937,191,161,112,231,1712620800,2024-04-09
0,0,1610612766,1610612737,0,2024,4,10,0.0,0.0,0.4359712230215827,0.6849315068493151,-2.4083828589302385,191,161,112,231,1712707200,2024-04-10
0,0,1610612766,1610612738,0,2024,4,12,0.0,0.0,0.4359712230215827,0.9589041095890412,-2.547598965162834,191,161,112,231,1712880000,2024-04-12
0,0,1610612766,1610612739,0,2024,4,14,0.0,0.0,0.4359712230215827,0.8493150684931507,0.1422262986423703,191,161,112,231,1713052800,2024-04-14
0,0,1610612741,1610612765,0,2024,2,27,0.0,0.0,0.4320457796852646,0.8493150684931507,1.1583227838330146,196,160,106,237,1708992000,2024-02-27
0,0,1610612741,1610612739,0,2024,2,28,0.0,0.0,0.4320457796852646,0.9589041095890412,-1.0231919247188586,196,160,106,237,1709078400,2024-02-28
0,0,1610612741,1610612749,0,2024,3,1,0.0,0.0,0.4320457796852646,0.9452054794520548,-5.440666485295012,196,160,106,237,1709251200,2024-03-01
0,0,1610612741,1610612758,0,2024,3,4,0.0,0.0,0.4320457796852646,0.8904109589041096,-3.360012262415694,196,160,106,237,1709510400,2024-03-04
0,0,1610612741,1610612762,0,2024,3,6,0.0,0.0,0.4320457796852646,0.7671232876712328,-2.3911340265575944,196,160,106,237,1709683200,2024-03-06
0,0,1610612741,1610612744,0,2024,3,7,0.0,0.0,0.4320457796852646,0.8767123287671232,-7.266648207116162,196,160,106,237,1709769600,2024-03-07
0,0,1610612741,1610612746,0,2024,3,9,0.0,0.0,0.4320457796852646,0.8356164383561644,-4.447250357653786,196,160,106,237,1709942400,2024-03-09
0,0,1610612741,1610612742,0,2024,3,11,0.0,0.0,0.4320457796852646,0.8767123287671232,-1.5017530898942226,196,160,106,237,1710115200,2024-03-11
0,0,1610612741,1610612754,0,2024,3,13,0.0,0.0,0.4320457796852646,0.7808219178082192,-2.967147226898732,196,160,106,237,1710288000,2024-03-13
0,0,1610612741,1610612746,0,2024,3,14,0.0,0.0,0.4320457796852646,0.8356164383561644,-4.447250357653786,196,160,106,237,1710374400,2024-03-14
0,0,1610612741,1610612764,0,2024,3,16,0.0,0.0,0.4320457796852646,0.726027397260274,-3.9404334823640426,196,160,106,237,1710547200,2024-03-16
0,0,1610612741,1610612757,0,2024,3,18,0.0,0.0,0.4320457796852646,0.8904109589041096,-3.055817159273218,196,160,106,237,1710720000,2024-03-18
0,0,1610612741,1610612745,0,2024,3,21,0.0,0.0,0.4320457796852646,0.9315068493150684,-4.493229885913692,196,160,106,237,1710979200,2024-03-21
0,0,1610612741,1610612738,0,2024,3,23,0.0,0.0,0.4320457796852646,0.7671232876712328,-3.713017188524063,196,160,106,237,1711152000,2024-03-23
0,0,1610612741,1610612764,0,2024,3,25,0.0,0.0,0.4320457796852646,0.726027397260274,-3.9404334823640426,196,160,106,237,1711324800,2024-03-25
0,0,1610612741,1610612754,0,2024,3,27,0.0,0.0,0.4320457796852646,0.7808219178082192,-2.967147226898732,196,160,106,237,1711497600,2024-03-27
0,0,1610612741,1610612751,0,2024,3,29,0.0,0.0,0.4320457796852646,0.8767123287671232,-2.9767717961046856,196,160,106,237,1711670400,2024-03-29
0,0,1610612741,1610612750,0,2024,3,31,0.0,0.0,0.4320457796852646,0.9178082191780822,-3.91341323644167,196,160,106,237,1711843200,2024-03-31
0,0,1610612741,1610612737,0,2024,4,1,0.0,0.0,0.4320457796852646,0.863013698630137,-3.5738010822914674,196,160,106,237,1711929600,2024-04-01
0,0,1610612741,1610612752,0,2024,4,5,0.0,0.0,0.4320457796852646,0.7808219178082192,0.5936890362856104,196,160,106,237,1712275200,2024-04-05
0,0,1610612741,1610612753,0,2024,4,7,0.0,0.0,0.4320457796852646,0.9178082191780822,1.4623382948284842,196,160,106,237,1712448000,2024-04-07
0,0,1610612741,1610612752,0,2024,4,9,0.0,0.0,0.4320457796852646,0.7808219178082192,0.5936890362856104,196,160,106,237,1712620800,2024-04-09
0,0,1610612741,1610612765,0,2024,4,11,0.0,0.0,0.4320457796852646,0.8493150684931507,1.1583227838330146,196,160,106,237,1712793600,2024-04-11
0,0,1610612741,1610612764,0,2024,4,12,0.0,0.0,0.4320457796852646,0.726027397260274,-3.9404334823640426,196,160,106,237,1712880000,2024-04-12
0,0,1610612741,1610612752,0,2024,4,14,0.0,0.0,0.4320457796852646,0.7808219178082192,0.5936890362856104,196,160,106,237,1713052800,2024-04-14
0,0,1610612739,1610612742,0,2024,2,27,0.0,0.0,0.5205843293492696,0.9589041095890412,-0.478561165175364,267,150,125,211,1708992000,2024-02-27
