Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP
0,1,1610612737,1610612739,1,2016,4,1,108.0,110.0,0.45652173913043476,0.9726027397260274,2.550609157572609,211,188,125,212,1459468800
1,0,1610612737,1610612756,0,2016,4,5,103.0,90.0,0.45652173913043476,0.821917808219178,0.39652643313969804,211,188,125,212,1459814400
1,1,1610612737,1610612761,0,2016,4,7,95.0,87.0,0.45652173913043476,0.8904109589041096,0.8912483191393932,211,188,125,212,1459987200
1,1,1610612737,1610612738,0,2016,4,9,118.0,107.0,0.45652173913043476,0.8493150684931507,-0.1392161062325954,211,188,125,212,1460160000
0,1,1610612737,1610612739,0,2016,4,11,94.0,109.0,0.45652173913043476,0.7945205479452055,2.550609157572609,211,188,125,212,1460332800
0,0,1610612737,1610612764,0,2016,4,13,98.0,109.0,0.45652173913043476,0.8493150684931507,-0.36663240007257514,211,188,125,212,1460505600
1,0,1610612737,1610612738,0,2016,4,16,102.0,101.0,0.45652173913043476,0.9863013698630136,-0.1392161062325954,211,188,125,212,1460764800
1,0,1610612737,1610612738,0,2016,4,19,89.0,72.0,0.45652173913043476,0.7671232876712328,-0.1392161062325954,211,188,125,212,1461024000
0,0,1610612737,1610612738,0,2016,4,22,103.0,111.0,0.45652173913043476,0.8904109589041096,-0.1392161062325954,211,188,125,212,1461283200
0,0,1610612737,1610612738,1,2016,4,24,95.0,104.0,0.45652173913043476,0.8767123287671232,-0.1392161062325954,211,188,125,212,1461456000
1,0,1610612737,1610612738,0,2016,4,26,110.0,83.0,0.45652173913043476,0.6301369863013699,-0.1392161062325954,211,188,125,212,1461628800
1,0,1610612737,1610612738,0,2016,4,28,104.0,92.0,0.45652173913043476,0.8356164383561644,-0.1392161062325954,211,188,125,212,1461801600
0,0,1610612737,1610612739,0,2016,5,2,93.0,104.0,0.45652173913043476,0.8493150684931507,2.550609157572609,211,188,125,212,1462147200
0,0,1610612737,1610612739,0,2016,5,4,98.0,123.0,0.45652173913043476,0.6575342465753424,2.550609157572609,211,188,125,212,1462320000
0,0,1610612737,1610612739,0,2016,5,6,108.0,121.0,0.45652173913043476,0.821917808219178,2.550609157572609,211,188,125,212,1462492800
0,0,1610612737,1610612739,0,2016,5,8,99.0,100.0,0.45652173913043476,0.9863013698630136,2.550609157572609,211,188,125,212,1462665600
1,1,1610612737,1610612764,0,2016,10,27,114.0,99.0,0.45652173913043476,0.7945205479452055,-0.36663240007257514,211,188,125,212,1477526400
1,0,1610612737,1610612755,0,2016,10,29,104.0,72.0,0.45652173913043476,0.5616438356164384,0.8632306363374624,211,188,125,212,1477699200
1,0,1610612737,1610612758,0,2016,10,31,106.0,95.0,0.45652173913043476,0.8493150684931507,0.21378881987577358,211,188,125,212,1477872000
0,0,1610612737,1610612747,0,2016,11,2,116.0,123.0,0.45652173913043476,0.904109589041096,0.7073012884626593,211,188,125,212,1478044800
0,1,1610612737,1610612764,0,2016,11,4,92.0,95.0,0.45652173913043476,0.9589041095890412,-0.36663240007257514,211,188,125,212,1478217600
1,1,1610612737,1610612745,0,2016,11,5,112.0,97.0,0.45652173913043476,0.7945205479452055,-0.9194288036222247,211,188,125,212,1478304000
1,1,1610612737,1610612739,0,2016,11,8,110.0,106.0,0.45652173913043476,0.9452054794520548,2.550609157572609,211,188,125,212,1478563200
1,1,1610612737,1610612741,0,2016,11,9,115.0,107.0,0.45652173913043476,0.8904109589041096,3.5738010822914674,211,188,125,212,1478649600
1,0,1610612737,1610612755,0,2016,11,12,117.0,96.0,0.45652173913043476,0.7123287671232876,0.8632306363374624,211,188,125,212,1478908800
1,0,1610612737,1610612748,0,2016,11,15,93.0,90.0,0.45652173913043476,0.9589041095890412,3.9967154706897503,211,188,125,212,1479168000
1,1,1610612737,1610612749,0,2016,11,16,107.0,100.0,0.45652173913043476,0.904109589041096,-1.866865403003544,211,188,125,212,1479254400
0,0,1610612737,1610612766,0,2016,11,18,96.0,100.0,0.45652173913043476,0.9452054794520548,2.4083828589302385,211,188,125,212,1479427200
0,0,1610612737,1610612752,0,2016,11,20,94.0,104.0,0.45652173913043476,0.863013698630137,4.167490118577078,211,188,125,212,1479600000
0,0,1610612737,1610612740,0,2016,11,22,94.0,112.0,0.45652173913043476,0.7534246575342466,-0.7493893502686859,211,188,125,212,1479772800
1,1,1610612737,1610612754,0,2016,11,23,96.0,85.0,0.45652173913043476,0.8493150684931507,0.6066538553927359,211,188,125,212,1479859200
0,1,1610612737,1610612762,0,2016,11,25,68.0,95.0,0.45652173913043476,0.6301369863013699,1.182667055733873,211,188,125,212,1480032000
0,0,1610612737,1610612747,0,2016,11,27,94.0,109.0,0.45652173913043476,0.7945205479452055,0.7073012884626593,211,188,125,212,1480204800
0,1,1610612737,1610612744,0,2016,11,28,100.0,105.0,0.45652173913043476,0.9315068493150684,-3.692847124824695,211,188,125,212,1480291200
0,0,1610612737,1610612756,0,2016,11,30,107.0,109.0,0.45652173913043476,0.9726027397260274,0.39652643313969804,211,188,125,212,1480464000
0,0,1610612737,1610612765,0,2016,12,2,85.0,121.0,0.45652173913043476,0.5068493150684932,4.732123866124482,211,188,125,212,1480636800
0,1,1610612737,1610612761,0,2016,12,3,84.0,128.0,0.45652173913043476,0.3972602739726028,0.8912483191393932,211,188,125,212,1480723200
0,1,1610612737,1610612760,0,2016,12,5,99.0,102.0,0.45652173913043476,0.9589041095890412,0.3790760869565162,211,188,125,212,1480896000
1,0,1610612737,1610612748,0,2016,12,7,103.0,95.0,0.45652173913043476,0.8904109589041096,3.9967154706897503,211,188,125,212,1481068800
1,1,1610612737,1610612749,0,2016,12,9,114.0,110.0,0.45652173913043476,0.9452054794520548,-1.866865403003544,211,188,125,212,1481241600
0,0,1610612737,1610612753,0,2016,12,13,120.0,131.0,0.45652173913043476,0.8493150684931507,5.036139377119952,211,188,125,212,1481587200
1,1,1610612737,1610612761,0,2016,12,16,125.0,121.0,0.45652173913043476,0.9452054794520548,0.8912483191393932,211,188,125,212,1481846400
0,0,1610612737,1610612766,0,2016,12,17,99.0,107.0,0.45652173913043476,0.8904109589041096,2.4083828589302385,211,188,125,212,1481932800
1,1,1610612737,1610612760,0,2016,12,19,110.0,108.0,0.45652173913043476,0.9726027397260274,0.3790760869565162,211,188,125,212,1482105600
0,0,1610612737,1610612750,0,2016,12,21,84.0,92.0,0.45652173913043476,0.8904109589041096,-0.3396121541502026,211,188,125,212,1482278400
1,0,1610612737,1610612743,0,2016,12,23,109.0,108.0,0.45652173913043476,0.9863013698630136,-0.7532622941478166,211,188,125,212,1482451200
0,0,1610612737,1610612750,0,2016,12,26,90.0,104.0,0.45652173913043476,0.8082191780821918,-0.3396121541502026,211,188,125,212,1482710400
1,0,1610612737,1610612752,1,2016,12,28,102.0,98.0,0.45652173913043476,0.9452054794520548,4.167490118577078,211,188,125,212,1482883200
1,0,1610612737,1610612765,0,2016,12,30,105.0,98.0,0.45652173913043476,0.904109589041096,4.732123866124482,211,188,125,212,1483056000
1,1,1610612737,1610612759,1,2017,1,1,114.0,112.0,0.45652173913043476,0.9726027397260274,1.4397057951242687,211,188,125,212,1483228800
1,0,1610612737,1610612753,0,2017,1,4,111.0,92.0,0.45652173913043476,0.7397260273972603,5.036139377119952,211,188,125,212,1483488000
1,0,1610612737,1610612740,0,2017,1,5,99.0,94.0,0.45652173913043476,0.9315068493150684,-0.7493893502686859,211,188,125,212,1483574400
